;Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
4477;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201805;132,4006;1,4;21,4;Noroeste
4478;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201805;137,7982;1,5;28,1;Cuyo
4479;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201805;138,3012;1,5;28,1;Patagonia
4565;11.1;Restaurantes y comidas fuera del hogar;Grupos;201805;138,6698;3,4;26,1;Pampeana
4566;11.1;Restaurantes y comidas fuera del hogar;Grupos;201805;132,66;2,9;15,9;Noreste
4567;11.1;Restaurantes y comidas fuera del hogar;Grupos;201805;132,4192;1,4;21,3;Noroeste
4568;11.1;Restaurantes y comidas fuera del hogar;Grupos;201805;138,1078;1,6;28;Cuyo
4569;11.1;Restaurantes y comidas fuera del hogar;Grupos;201805;138,5288;1,5;28;Patagonia
4605;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201805;138,4313;2;27,6;Pampeana
4606;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201805;140,6568;2,2;25,1;Noreste
4607;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201805;141,3104;2,7;24,5;Noroeste
4608;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201805;138,7638;1,6;27,7;Cuyo
4609;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201805;135,744;3;23,7;Patagonia
4610;01.2.1;Café, té, yerba y cacao;Clase;201805;136,7161;4,4;25,9;Pampeana
4611;01.2.1;Café, té, yerba y cacao;Clase;201805;133,2933;3,1;23;Noreste
4612;01.2.1;Café, té, yerba y cacao;Clase;201805;132,984;3,9;23,9;Noroeste
4613;01.2.1;Café, té, yerba y cacao;Clase;201805;137,7773;4;28,5;Cuyo
4614;01.2.1;Café, té, yerba y cacao;Clase;201805;135,4393;5,5;22,9;Patagonia
4615;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201805;134,4248;2,1;22,4;Pampeana
4616;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201805;145,1458;3,4;32,6;Noreste
4617;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201805;137,8176;1,3;25,9;Noroeste
4618;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201805;138,1451;1,4;23;Cuyo
4619;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201805;139,9056;2,2;28,6;Patagonia
4646;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201805;136,359;2,1;24,5;GBA
4666;11.1;Restaurantes y comidas fuera del hogar;Grupos;201805;136,6086;2,2;24,2;GBA
4674;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201805;133,7134;2,7;24,7;GBA
4675;01.2.1;Café, té, yerba y cacao;Clase;201805;138,1058;3;26,3;GBA
4676;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201805;134,9318;1,2;24,9;GBA
4735;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201806;141,3371;2,1;27,5;Pampeana
4736;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201806;136,1575;2,7;18,7;Noreste
4737;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201806;135,7591;2,5;24,1;Noroeste
4738;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201806;142,0747;3,1;30,7;Cuyo
4739;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201806;141,3167;2,2;29,5;Patagonia
4825;11.1;Restaurantes y comidas fuera del hogar;Grupos;201806;141,6425;2,1;27,4;Pampeana
4826;11.1;Restaurantes y comidas fuera del hogar;Grupos;201806;136,2511;2,7;18,5;Noreste
4827;11.1;Restaurantes y comidas fuera del hogar;Grupos;201806;135,8343;2,6;24;Noroeste
4828;11.1;Restaurantes y comidas fuera del hogar;Grupos;201806;142,5627;3,2;30,7;Cuyo
4829;11.1;Restaurantes y comidas fuera del hogar;Grupos;201806;141,6235;2,2;29,5;Patagonia
4865;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201806;143,6718;3,8;30,2;Pampeana
4866;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201806;145,6071;3,5;25,9;Noreste
4867;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201806;144,3665;2,2;24,8;Noroeste
4868;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201806;143,5153;3,4;26,3;Cuyo
4869;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201806;141,8463;4,5;26,6;Patagonia
4870;01.2.1;Café, té, yerba y cacao;Clase;201806;144,9402;6;32,7;Pampeana
4871;01.2.1;Café, té, yerba y cacao;Clase;201806;140,6252;5,5;28,2;Noreste
4872;01.2.1;Café, té, yerba y cacao;Clase;201806;140,7712;5,9;29,5;Noroeste
